"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
4816,"Recovery Following Desflurane Versus Sevoflurane for Outpatient Urologic Surgery in Elderly Females","Completed","Has Results","Ureteral Stent Occlusion|Exposure Laser|Ureterostomy; Functional Disturbance|Vaginal Diseases|Injury of Bladder|Excessive Repair|Calculi","Drug: Desflurane|Drug: Sevoflurane","Hahnemann University Hospital, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01310582"
4817,"Early Weight Bearing on Supracondylar Distal Femur Fractures in Elderly Patients","Completed","No Results Available","Distal Femur Fractures","Other: Non Weight bearing|Other: Early Weight Bearing","Wellstar, Atlanta, Georgia, United States|St. Louis Medical Center, Saint Louis, Missouri, United States|Duke University, Durham, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Grennville Health Sysytems, Greenville, South Carolina, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT02475941"
4818,"Feeding the Critically Ill During Phases of Altered Redox Status","Completed","No Results Available","Acute Respiratory Distress Syndrome|Oxidative Stress|Euthyroid Sick Syndromes|Systemic Inflammatory Response Syndrome","Other: Jevity 1.5","Rush University Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03085615"
4819,"Treatment Strategy for Alcohol Use Disorders in Veterans With TBI","Completed","Has Results","Alcohol Dependence","Drug: Valproate|Drug: Naltrexone","Iowa City VA Health Care System, Iowa City, IA, Iowa City, Iowa, United States|Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01342549"
4820,"PROlonGed ExpoSure Sertraline","Completed","Has Results","Posttraumatic Stress Disorder","Drug: Sertraline|Behavioral: Prolonged Exposure Therapy","VA San Diego Healthcare System, San Diego, California, United States|Ralph H. Johnson VA Medical Center/Savannah Primary Care Clinic, Savannah, Georgia, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Veterans Affairs Ann Arbor Healthcare System, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT01524133"
4821,"A Study of Safety, Tolerability, and Efficacy of AFN-12520000 in the Treatment of Acute Bacterial Skin and Skin Structure Infections Due to Staphylococci","Completed","No Results Available","Skin and Subcutaneous Tissue Bacterial Infections|Wound Infection|Cutaneous Abscess|Burn Infection|Cellulitis","Drug: AFN-12520000","SITE 018, Buena Park, California, United States|SITE 005, Chula Vista, California, United States|SITE 001, La Mesa, California, United States|SITE 016, Oceanside, California, United States|SITE 017, Augusta, Georgia, United States|SITE 002, Columbus, Georgia, United States|SITE 004, Savannah, Georgia, United States|SITE 006, Las Vegas, Nevada, United States|SITE 003, Somers Point, New Jersey, United States|SITE 007, Cincinnati, Ohio, United States|SITE 011, Toledo, Ohio, United States|SITE 008, Nashville, Tennessee, United States|SITE 014, Edmonton, Alberta, Canada|SITE 015, Kingston, Ontario, Canada","https://ClinicalTrials.gov/show/NCT01519492"
4822,"The RE-ENERGIZE Study: RandomizEd Trial of ENtERal Glutamine to minimIZE Thermal Injury","Recruiting","No Results Available","Burns","Dietary Supplement: Enteral Glutamine|Dietary Supplement: Placebo","Arizona Burn Center at Maricopa Medical Center, Phoenix, Arizona, United States|Southern California Regional Burn Ctr at LAC & USC Med. Ctr., Los Angeles, California, United States|Shriners Hospitals for Children Northern California, Sacramento, California, United States|Department of Anesthesiology, University of Colorado, Aurora, Colorado, United States|Connecticut Burn Center, Bridgeport, Connecticut, United States|The Burn Center at Washington Hospital Center, Washington, District of Columbia, United States|Shands Burn Center at the University of Florida, Gainesville, Florida, United States|University of South Florida/Tampa Gen. Hosp. Reg. Burn Center, FL, Tampa, Florida, United States|Joseph M Still Burn Center, Augusta, Georgia, United States|Department of Surgery University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States|Mercy Hospital St. Louis, Saint Louis, Missouri, United States|Elizabeth Regional Burn Center, Lincoln, Nebraska, United States|The Nebraska Medical Center, Omaha, Nebraska, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|Akron's Children's Hospital, Paul & Carol David Foundation, Akron, Ohio, United States|The Ohio State University Wexnar Medical Center, Columbus, Ohio, United States|Legacy Emmanuel Hospital & Health Center, Portland, Oregon, United States|The Western Pennsylvania Hospital Burn Center, Pittsburgh, Pennsylvania, United States|The University of Tennessee Health Science Center, Memphis, Tennessee, United States|University of Texas Southwestern, Dallas, Texas, United States|JBSA Fort Sam Houston, Fort Sam Houston, Texas, United States|University of Texas Medical Branch, Galveston, Texas, United States|Memorial Hermann/UTHSC, Houston, Texas, United States|Harbourview Medical Center, Seattle, Washington, United States|Columbia-St. Mary's, Milwaukee, Wi, Milwaukee, Wisconsin, United States|Ghent University Hospital, Ghent, Belgium|University Hospital of Liège, Liège, Belgium|Calgary Firefighters' Burn Unit, Calgary, Alberta, Canada|Vancouver General Hospital, Vancouver, British Columbia, Canada|Health Sciences Centre Burn Unit, Winnipeg, Winnipeg, Manitoba, Canada|HHS/Hamilton Firefighters Burn Unit, Hamilton, Ontario, Canada|Ross Tilley Burn Centre, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|CHUM/Centre des Grands Brules, Montreal, Quebec, Canada|HEJ/Centre des Grands Brules, Quebec, Canada|Instituto Tecnologico de Santo Domingo, Santo Domingo, Dominican Republic|RWTH Aachen University, Aachen, North Rhine-Westphalia, Germany|Hospital Central ""Dr. Ignacio Morones Prieto, San Luis Potosi, San Luis Potosí, Mexico|Hospital Civil Fray Antonio Alcalde, Guadalajara, Mexico|Centro Nacional de Quemaduras y Cirugia Reconstructiva, Asunción, Paraguay|Hospital Universitario La Fe, Valencia, Spain|Uppsala University Hospital, Uppsala, Sweden|University Hospitals Birmingham NHS Foundation Trust, Birmingham, Edgbaston, United Kingdom|St Helens & Knowsley Teaching Hospitals, Liverpool, England, United Kingdom|Chelsea and Westminster Hospital, London, England, United Kingdom|Newcastle upon Tyne Hospitals, Newcastle Upon Tyne, England, United Kingdom","https://ClinicalTrials.gov/show/NCT00985205"
4823,"Prazosin for Alcohol Dependence and Posttraumatic Stress Disorder","Unknown status","No Results Available","Alcohol Abuse|Posttraumatic Stress Disorder","Drug: Prazosin|Drug: Placebo medication","VA Puget Sound Health Care System, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01518972"
4824,"National Child Traumatic Stress Network (NCTSN) Quality Improvement Initiative Database","Completed","No Results Available","Post Traumatic Stress Disorder|Anxiety|Depression|Conduct Disorder|ADHD",,"Family Center at Kennedy Krieger Institute, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01591694"
4825,"Abdominal Wall Transplant","Recruiting","No Results Available","Transplant;Failure,Kidney|Transplant; Failure, Liver|Transplant; Failure, Bowel|Abdominal Wall Defect|Abdominal Wall Fistula|Abdominal Wall Hernia|Abdominal Wall Injury","Drug: Belatacept 5mg/kg IV monthly|Procedure: Abdominal Wall Transplant","Duke University Medical Center, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03310905"
4826,"Present- Versus Past-focused Therapy for PTSD and Substance Use Disorder","Completed","No Results Available","Posttraumatic Stress Disorder|Substance Use Disorder|Alcohol Use Disorder","Behavioral: Creating Change (CC)|Behavioral: Seeking Safety (SS)","VA Boston Healthcare System, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01274741"
4827,"Integrated Treatment of OEF/OIF Veterans With PTSD & Substance Use Disorders","Completed","No Results Available","Posttraumatic Stress Disorders|Combat Disorders|Alcohol Dependence|Drug Dependence","Behavioral: Concurrent Treatment with Prolonged Exposure (COPE)","Medical University of South Carolina, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT01338506"
4828,"Non-Invasive Ventilation Via a Helmet Device for Patients Respiratory Failure","Completed","Has Results","Acute Respiratory Distress Syndrome|Shock|Ventilatory Failure|Cardiogenic Pulmonary Edema","Device: Non invasive ventilation using a helmet hyperbaric device|Other: Noninvasive ventilation via facemask","University of Chicago Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01680783"
4829,"Ocular Penetration of 1.5% Levofloxacin and 0.5% Moxifloxacin During Corneal Transplant Surgery","Terminated","No Results Available","Corneal Transplantation","Drug: 1.5% levofloxacin ophthalmic solution|Drug: 0.5% moxifloxacin ophthalmic solution","Boynton Beach, Florida, United States|Indianapolis, Indiana, United States|Great Rapids, Michigan, United States|Kansas City, Missouri, United States|Springfield, Missouri, United States|Stony Brook, New York, United States|Cincinnati, Ohio, United States|Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT00764582"
4830,"Magnet for Corneal Foreign Bodies","Recruiting","No Results Available","Corneal Foreign Body","Procedure: Corneal Foreign Body Removal","Kendall Regional Medical Center, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT03778190"
4831,"Umbilical Cord Milking in Non-Vigorous Infants - NIRS Sub-study (MINVI_NIRS)","Recruiting","No Results Available","Birth Asphyxia With Neurologic Involvement","Procedure: Umbilical Cord Milking|Procedure: Early Cord Clamping","Sharp Mary Birch Hospital for Women and Newborns, San Diego, California, United States|Governors of University of Alberta, Edmonton, Alberta, Canada","https://ClinicalTrials.gov/show/NCT03621956"
4832,"Pre-operative Aqueous Antiseptic Skin Solutions in Open Fractures","Enrolling by invitation","No Results Available","Surgical Site Infection|Unplanned Fracture-Related Reoperation|Open Appendicular Fracture","Drug: 10% povidone-iodine (1% free iodine) in purified water|Drug: 4% chlorhexidine gluconate (CHG) in purified water","The CORE Institute / Banner University Medical Center, Phoenix, Arizona, United States|Banner - University Medical Center Tucson, Tucson, Arizona, United States|University of California San Francisco, San Francisco, California, United States|University of Florida, Gainesville, Florida, United States|Indiana University Health Methodist Hospital, Indianapolis, Indiana, United States|University of Maryland, R Adams Cowley Shock Trauma Center, Baltimore, Maryland, United States|Wright State University / Miami Valley Hospital, Dayton, Ohio, United States|Greenville Health System, Greenville, South Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|San Antonio Military Medical Center, Fort Sam Houston, Texas, United States|McGovern Medical School at University of Texas Health Science Center Houston, Houston, Texas, United States|Hamilton Health Sciences, Hamilton, Ontario, Canada|McMaster University, Center for Evidence-Based Orthopaedics, Hamilton, Ontario, Canada","https://ClinicalTrials.gov/show/NCT03385304"
4833,"Project RAP: Reaching Adolescents for Prevention","Unknown status","No Results Available","Alcohol Related Morbidity|Alcohol Dependence","Behavioral: Brief Motivational Intervention|Behavioral: Assessment and list of resources|Behavioral: Referral to Community Resources","Boston Medical Center Pediatric Emergency Department, Boston, Massachusetts, United States|Boston University School of Public Health - Youth Alcohol Prevention Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00183157"
4834,"Neuromodulation Enhanced Cognitive Restructuring: A Proof of Concept Study","Recruiting","No Results Available","Anxiety|Depression|Personality Disorders|Trauma and Stress-related Disorders|Somatic Disorders|Obsessive Compulsive Disorders|Eating Disorders|Difficulties With Cognitive Emotion Regulation","Behavioral: Cognitive Restructuring|Device: rTMS|Device: Sham rTMS","Duke University Medical Center-Civitan Bldg, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02573246"
4835,"A Comparison of Web-Prolonged Exposure (Web-PE) and Present-Centered Therapy (PCT) for PTSD Among Active-Duty Military Personnel","Completed","No Results Available","Posttraumatic Stress Disorders|Combat Disorders","Other: Web-PE Therapy|Other: Therapist-Delivered Present-Centered Therapy","Department of Psychiatry and Behavioral Sciences, Emory University, Atlanta, Georgia, United States|Center for the Treatment and Study of Anxiety, University of Pennsylvania, Philadelphia, Pennsylvania, United States|Carl R. Darnall Army Medical Center, Killeen, Texas, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT02556645"
4836,"NAC for Treating Comorbid PTSD and SUD","Active, not recruiting","No Results Available","Posttraumatic Stress Disorder (PTSD)|Alcohol Use Disorder (AUD)|Substance Use Disorder (SUD)","Drug: N-acetylcysteine|Drug: Placebo|Behavioral: Cognitive behavioral therapy","Medical University of South Carolina, Charleston, South Carolina, United States|Ralph H Johnson VA Medical Center, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT02911285"
4837,"DElivery of Self Training and Education for Stressful Situations-Primary Care Version","Completed","No Results Available","Posttraumatic Stress Disorder (PTSD)","Behavioral: DESTRESS-PC|Other: Optimized Usual Primary Care PTSD treatment","Savannah Primary Care Clinic (Charleston VA), Savannah, Georgia, United States|Department of Veterans Affairs, Boston, Boston, Massachusetts, United States|Ralph H. Johnson VA Medical Center/Goose Creek Primary Care Clinic (Charleston VA), Charleston, South Carolina, United States|Womack Army Medical Center, Ft. Bragg, South Carolina, United States","https://ClinicalTrials.gov/show/NCT01474057"
4838,"CAP-Ketamine for Antidepressant Resistant PTSD","Recruiting","No Results Available","PTSD|Posttraumatic Stress Disorder","Drug: Ketamine|Drug: Placebo","VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, United States|Minneapolis VA Health Care System, Minneapolis, MN, Minneapolis, Minnesota, United States|Brooke Army Medical Center, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT02655692"
4839,"D-Stress Baltimore: School-based Mindfulness Instruction","Completed","No Results Available","Coping|Stress Disorders, Post-Traumatic|Mental Health Wellness 1","Behavioral: Mindfulness Instruction|Behavioral: Health Education","Tench Tilghman Elementary Middle School, Baltimore, Maryland, United States|Collington Square Elementary Middle School, Baltimore, Maryland, United States|Commodore John Rodgers Elementary Middle School, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02493218"
4840,"NeoCart Phase 2 Clinical Trial","Completed","No Results Available","Articular Cartilage Damage","Biological: NeoCart|Procedure: microfracture","UCSF, San Francisco, California, United States|TRIA Orthopedic Center, Bloomington, Minnesota, United States|Hospital for Special Surgery, New York, New York, United States|Keller Army Community Hospital, West Point, New York, United States|Duke Sports Medicine Center, Durham, North Carolina, United States|OHSU, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT00548119"
4841,"Individual PE vs Couples' CBT for Combat-Related Posttraumatic Stress Disorder","Completed","No Results Available","PTSD|Marital Relationship","Behavioral: CBCT for PTSD|Behavioral: Prolonged Exposure","Fort Hood Military Base, Fort Hood, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Fort Sam Houston, Texas, United States|University of Texas Health Science Center at San Antonio, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT02336971"
4842,"Collaborative Care for Women Veterans","Recruiting","No Results Available","Anxiety|Depression|Stress Disorders, Post Traumatic","Behavioral: Collaborative Care for Women Veterans","VA San Diego Healthcare System, San Diego, CA, San Diego, California, United States|VA Greater Los Angeles Healthcare System, West Los Angeles, CA, West Los Angeles, California, United States|VA Portland Health Care System, Portland, OR, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT02950961"
4843,"Study to Improve Renal Function After Kidney Transplantation","Unknown status","No Results Available","Delayed Graft Function","Drug: BB3","California Institute of Renal Research, San Diego, California, United States|Medstar Georgetown University Hospital, Washington, District of Columbia, United States|MedStar Washington Hospital Center, Washington, District of Columbia, United States|Division of Transplant Surgery, University of Maryland School of Medicine, University of Maryland Medical Center, Baltimore, Maryland, United States|State University of New York at Buffalo, Buffalo, New York, United States|The Methodist Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01286727"
4844,"Enhancing Extinction Learning in Post Traumatic Stress Disorder (PTSD)","Completed","Has Results","Chronic Posttraumatic Stress Disorder","Drug: Psychotherapy plus Methylene Blue, USP|Behavioral: Psychotherapy plus Placebo|Behavioral: Delayed Psychotherapy","University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Texas, Austin, Texas, United States|University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01188694"
4845,"Microarray Expression Profiling to Identify Stereotypic mRNA Profiles for Preterm Delivery in Order to Unravel the Biological Mechanisms","Completed","No Results Available","Preterm Birth|Premature Rupture of Membranes",,"Hutzel Women's Hospital, Detroit, Michigan, United States|Padova Hospital, Padova, Italy","https://ClinicalTrials.gov/show/NCT00342277"
4846,"FOCUS-CI: A Preventive Intervention With Children and Families of the Combat Injured","Terminated","No Results Available","Stress Disorders|Combat Disorders|Traumatic Stress Disorders","Behavioral: Standard of Care|Behavioral: FOCUS-CI","Walter Reed Army Medical Center, Washington, District of Columbia, United States|Brooke Army Medical Center, San Antonio, Texas, United States|Madigan Army Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01062022"
4847,"Effectiveness of Cognitive Behavioral Couples Therapy for Post-traumatic Stress Disorder","Completed","No Results Available","Post-traumatic Stress Disorder","Behavioral: Cognitive behavioral couples therapy for post-traumatic stress disorder (CBCT for PTSD)","VA Boston Healthcare System, Boston, Massachusetts, United States|Ryerson University, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00669981"
4848,"Hydroxyurea to Prevent Brain Injury in Sickle Cell Disease","Active, not recruiting","No Results Available","Sickle Cell Disease|Stroke","Drug: Hydroxyurea|Drug: Placebo","University of Alabama, Birmingham, Alabama, United States|Sinai Hospital, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|Mercy Children's Hospital, Kansas City, Missouri, United States|St. Louis Children's Hospital, Saint Louis, Missouri, United States|Columbia University, New York, New York, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01389024"
4849,"Telemedicine Outreach for Post Traumatic Stress in CBOCs","Completed","Has Results","Posttraumatic Stress Disorder","Other: Telemedicine Outreach for PTSD","Central Arkansas Veterans Healthcare System (North Little Rock), North Little Rock, Arkansas, United States|VA Medical Center, Loma Linda, Loma Linda, California, United States|Overton Brooks VA Medical Center, Shreveport, LA, Shreveport, Louisiana, United States","https://ClinicalTrials.gov/show/NCT00821678"
4850,"Intraoperative Monitoring of Femoral Head Perfusion","Enrolling by invitation","No Results Available","Femoral Neck Fractures","Device: Intracranial pressure (ICP) monitor|Other: Standard of Care","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT04110639"
4851,"Efficacy, Safety, and Tolerability of Remlarsen (MRG-201) Following Intradermal Injection in Subjects With a History of Keloids","Active, not recruiting","No Results Available","Keloid","Drug: Remlarsen|Drug: Placebo","Center for Clinical and Cosmetic Research, Aventura, Florida, United States|Northwestern University, Chicago, Illinois, United States|Henry Ford Health System, Detroit, Michigan, United States|J & S Studies, College Station, Texas, United States","https://ClinicalTrials.gov/show/NCT03601052"
4852,"Computerized Tailored Intervention for Behavioral Sequelae of PTSD in Veterans","Completed","Has Results","Post Traumatic Stress Disorder|Smoking|Anxiety|Depression","Behavioral: Multibehavioral, Computerized Tailored Intervention STR2IVE","VA Pacific Island Health Care System, Honolulu, Hawaii, United States|Dept of Public Health, John A. Burns School of Medicine, University of Hawaii at Manoa, Honolulu, Hawaii, United States|Pro-Change Behavioral Systems, Inc., Kingston, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT01510834"
4853,"Safety Study of Inhaled Carbon Monoxide to Treat Acute Respiratory Distress Syndrome (ARDS)","Completed","No Results Available","Acute Respiratory Distress Syndrome (ARDS)","Drug: Inhaled Carbon Monoxide at 100ppm (4 participants)|Drug: Placebo for Inhaled Carbon Monoxide at 100ppm (2 participants)|Drug: Inhaled Carbon Monoxide at 200ppm (4 participants)|Drug: Placebo for Inhaled Carbon Monoxide at 200ppm (2 participants)","Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Weill Cornell Medical College/NewYork-Presbyterian, New York, New York, United States|Duke Univesity Hospital, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02425579"
4854,"Quetiapine Augmentation for Treatment-resistant PTSD","Completed","Has Results","Combat Disorders|Stress Disorders, Post-Traumatic","Drug: Open Label (OL) Paroxetine|Drug: Placebo|Drug: Quetiapine","Birmingham VA Medical Center, Birmingham, Alabama, United States|Tuscaloosa VAMC, Tuscaloosa, Alabama, United States|Ralph H. Johnson, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT00292370"
4855,"TRF-1101 Assessment in Sickle Cell Disease","Terminated","No Results Available","Sickle Cell Disease","Drug: TRF-1101|Drug: Placebo","Howard University, Washington, District of Columbia, United States|Medical College of Georgia, Augusta, Georgia, United States|University of Illinios Medical Center, Chicago, Illinois, United States|Boston Medical Center, Boston, Massachusetts, United States|Wayne State University Medical Center, Detroit, Michigan, United States|University of North Carolina, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT00773890"
4856,"Ultrasound Guided Pain Control Versus Standard Treatment in Emergency Department HIP Fracture Patients","Completed","Has Results","Hip Fracture","Procedure: UFNB (Ultrasound guided femoral nerve block)|Procedure: UFIB (Ultrasound Guided Fascia Iliaca Compartment Block)|Drug: IVMS (IV Morphine)","Maimonides Medical Center, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT01904071"
4857,"A Study Evaluating Oxybutynin in Patients With Neurogenic Overactive Bladder Associated With a Neurological Condition","Completed","Has Results","Detrusor Hyperreflexia","Drug: Oxybutynin transdermal system","Atlanta, Georgia, United States|Bronx, New York, United States|Chapel Hill, North Carolina, United States|Charlotte, North Carolina, United States|Dallas, Texas, United States|Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00224029"
4858,"Interleukin 6 Blockade Modifying Antibody-Mediated Graft Injury and Estimated Glomerular Filtration Rate (eGFR) Decline","Recruiting","No Results Available","Antibody-mediated Rejection","Biological: Clazakizumab|Drug: Normal saline","California Institute of Renal Research, San Diego, California, United States|Maine Medical Center/ Maine Medical Center Research Institute, Scarborough, Maine, United States|Henry Ford Health System, Detroit, Michigan, United States|Montefiore Medical Center, Bronx, New York, United States|Central Pennsylvania Transplant Foundation, Harrisburg, Pennsylvania, United States|University of Washington, Seattle, Washington, United States|Providence Medical Research Center, Spokane, Washington, United States|University of Wisconsin School of Medicine and Public Health (UWSMPH), Madison, Wisconsin, United States|WSLHD, Westmead Hospital, Westmead, New South Wales, Australia|Princess Alexandra Hospital, Woolloongabba, Queensland, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|The Royal Melbourne Hospital, Parkville, Victoria, Australia|Shared Health Inc. operating as the Health Sciences Centre, Winnipeg, Manitoba, Canada|CHU GRENOBLE ALPES - Consultation Néphrologie Bureau des ARC (Côté Chartreuse, Rez-de-Chaussée Haut), Grenoble, Grenoble Cédex 09, France|Néphrologie - Pavillon Sainte Venise - CHU de Rouen - Hôpital de Bois Guillaume, Bois-Guillaume, France|Hopital Edouard Herriot, Lyon, France|Debreceni Egyetem, Klinikai Központ, Auguszta, Debrecen, Hungary|Radboudumc, Nijmegen, Gelderland, Netherlands|Hospital Clinic Barcelona, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT03744910"
4859,"Enhancing Exposure Therapy for Post Traumatic Stress Disorder (PTSD): Virtual Reality and Imaginal Exposure With a Cognitive Enhancer","Completed","Has Results","Post Traumatic Stress Disorder","Drug: DCS (D-Cycloserine ) + Prolonged Imaginal Exposure|Drug: DCS (D-Cycloserine ) + Virtual Reality Exposure|Drug: Placebo + Prolonged Imaginal Exposure|Drug: Placebo (sugar pill) + Virtual Reality Exposure","VA Long Beach Healthcare System, Long Beach, California, United States|University of Southern California, Los Angeles, California, United States|Emory University, Atlanta, Georgia, United States|Walter Reed Army Medical Center/National Intrepid Center of Excellence (NICoE), Bethesda, Maryland, United States|Weill Cornell Medical College, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01352637"
4860,"Instant Total Contact Cast to Heal Diabetic Foot Ulcers","Unknown status","No Results Available","Diabetic Foot Ulcers","Device: Total Contact Cast|Device: Instant Total Contact Cast (ITCC)|Device: Removable Cast Walker (RCW)","University of Arizona, Tucson, Arizona, United States|Parkland Health & Hospital Systems, Dallas, Texas, United States|UT Southwestern Medical Center at Dallas, Dallas, Texas, United States|Scott & White, Temple, Texas, United States","https://ClinicalTrials.gov/show/NCT01221207"
4861,"Indoor Air Quality and Respiratory Morbidity in School-Aged Children With BPD","Recruiting","No Results Available","Bronchopulmonary Dysplasia|Chronic Lung Disease of Newborn|Environmental Exposure",,"Boston Childrens Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04107701"
4862,"PRINT Trial (Platelet Rich Injection vs Needle Tenotomy)","Active, not recruiting","No Results Available","Lateral Epicondylitis|Tendinosis|Elbow, Tennis|Elbows Tendonitis","Procedure: Percutaneous Needle Tenotomy|Procedure: PRP","KP-LAMC, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT03504111"
4863,"Treatment of Post-Traumatic Stress Disorder (PTSD) in Sexually Abused Children","Completed","No Results Available","Stress Disorders, Post-Traumatic","Behavioral: Trauma-Focused CBT|Behavioral: Child-Centered Therapy","Center for Children's Support, University of Medicine and Dentistry - New Jersey, Stratford, New Jersey, United States|Allegheny General Hospital Center for Traumatic Stress in Children and Adolescents, Pittsburgh, Pennsylvania, United States|Center for Traumatic Stress in Children & Adolescents, Allegheny General Hospital, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00000383"
4864,"13C-Methacetin Breath Test for the Prediction of Outcome in in ALI or ALF","Active, not recruiting","No Results Available","Acute Liver Failure","Drug: 13C-Methacetin","University of Alabama, Birmingham, Birmingham, Alabama, United States|University of California, San Francisco, San Francisco, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Northwestern University, Chicago, Illinois, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Michigan, Ann Arbor, Michigan, United States|Ohio State University Medical Center, Columbus, Ohio, United States|Medical University of South Carolina, Charleston, South Carolina, United States|UT Southwestern Medical Center at Dallas, Dallas, Texas, United States|VCU Medical Center, Richmond, Virginia, United States|University of Washington Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT02786836"
4865,"Neurotrophin Expression in Infants as a Predictor of Respiratory and Neurodevelopmental Outcomes","Completed","No Results Available","Bronchopulmonary Dysplasia|Chronic Lung Disease",,"Cleveland Clinic, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT03373539"
4866,"Assessment of Vertebral Fracture Risk for First Time Liver Transplant Candidates","Recruiting","No Results Available","Metabolic Bone Disease|Transplant-Related Disorder|Secondary Osteoporosis","Radiation: Thoracic spine X-Ray","Mayo Clinic in Florida, Jacksonville, Florida, United States","https://ClinicalTrials.gov/show/NCT03811873"
4867,"The Impact of Tibial Tubercle-trochlear Groove Distance and Patellar Height on the Outcome of Isolated Medial Patellofemoral Ligament Reconstruction","Recruiting","No Results Available","Patellar Dislocation","Other: Observational","University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT03076008"
4868,"Pre-hospital Advanced Therapies for Control of Hemorrhage - Pelvis","Completed","No Results Available","Hemorrhage|Pelvic Fracture","Device: Pelvic Binder","Carolinas Medical Center, Charlotte, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02855060"
4869,"Zoledronic Acid for Osteoporotic Fracture Prevention (ZEST II)","Recruiting","No Results Available","Osteoporotic Fractures|Osteoporosis, Postmenopausal","Drug: Zoledronic acid|Dietary Supplement: vitamin D|Dietary Supplement: calcium|Other: Saline","University of Pittsburgh Osteoporosis Prevention & Treatment Center, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02589600"
4870,"New Tools for Assessing Fracture Risk","Suspended","No Results Available","Osteoporosis|Fracture Risk Assessment","Device: Osteoprobe-RPI|Radiation: Dual-energy X-ray absorptiometry (DXA) Scans|Radiation: MRI","Vanderbilt Univeristy Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT02436356"
